,gene,logFC,AveExpr,P.Value,FDR
TCEB1,TCEB1,0.494053090915751,8.143423413392,2.00924835380139e-73,1.07849611637663e-70
REEP1,REEP1,-0.491623731715935,7.44711838284478,1.96847567953694e-18,8.33233296029494e-17
E2F2,E2F2,0.488759171080008,7.3147546442699,4.8426439649024e-32,6.49841606098711e-30
SCGB2A2,SCGB2A2,-0.486582385973144,10.6272851387999,0.00132345965770682,0.00541692350244171
KIAA1324,KIAA1324,-0.485539692969137,10.3448341129576,4.05498199786329e-14,1.04386822287852e-12
LY6E,LY6E,0.4848123500414,10.4889327281652,5.53495038716484e-23,3.62690203551674e-21
GGH,GGH,0.484325728713359,7.90266244812879,8.37371862606483e-19,3.67102525247615e-17
MCM10,MCM10,0.482966976429893,6.79274904580114,4.03189008169693e-36,6.96688513568836e-34
LOC648526,LOC648526,0.482841379163654,7.89429478423445,2.2792345237309e-25,1.77470767174948e-23
PEG3,PEG3,0.482773241658172,7.06225592709832,7.62688328858946e-13,1.61013398832247e-11
TAT,TAT,-0.479675690208742,6.2661143193058,2.16217616175787e-09,2.67651522123786e-08
NKX3-1,NKX3-1,-0.478543249912424,6.67165586698663,5.95856116094493e-19,2.6417216025596e-17
SYTL2,SYTL2,-0.477665100840252,9.68628372008706,1.59647528833868e-18,6.8380099446873e-17
C8orf51,C8orf51,0.476406696731076,6.64070515358176,1.16489554444079e-83,8.16332910976451e-81
LOC651816,LOC651816,0.474825730878161,8.08751857194853,5.02617056767496e-35,8.28759680269961e-33
PTTG3P,PTTG3P,0.474782773664828,7.93496475284845,1.88481405087396e-27,1.76111440279438e-25
HRSP12,HRSP12,0.473972373352359,7.87401714567629,3.70360546177171e-56,1.27992546013119e-53
SLC7A2,SLC7A2,-0.473468261893521,8.65946150544413,6.16974406318511e-07,5.01935837555736e-06
RDH10,RDH10,0.472667293251434,7.33485740352633,1.11632389099081e-19,5.31370172111626e-18
TAF2,TAF2,0.47060791651364,7.33789612132902,3.9804680638736e-91,4.18413534647514e-88
E2F5,E2F5,0.47021784648268,7.24389212798386,7.64115032453141e-46,1.78892945942157e-43
KIF2C,KIF2C,0.469724001519784,6.79339713872224,2.10200326228839e-37,3.87075462051178e-35
CDCA3,CDCA3,0.468835663061651,6.62299257262135,1.61226662110076e-36,2.86438467022042e-34
KRT81,KRT81,0.468205625696252,6.83391640813856,1.40761191545672e-07,1.28153133898023e-06
CCL15,CCL15,-0.467823316523441,7.39034178055346,3.06549748933278e-15,9.14141497173609e-14
PTK2,PTK2,0.467739562632149,10.5655848553773,5.3726671653627e-89,5.02006100917667e-86
WDR67,WDR67,0.467081004519937,6.87527976669602,8.43872586013038e-85,6.65288049998029e-82
RECQL4,RECQL4,0.465481116830735,6.1888775660007,9.76285514220544e-63,3.90948110361205e-60
UTP23,UTP23,0.464059001489819,7.12004013399339,7.44648588481679e-99,1.56549954918465e-95
CLEC3A,CLEC3A,-0.463859969398882,7.07168451042992,8.20794501076114e-05,0.000446271630886815
ASPM,ASPM,0.463435004273171,7.41235624827908,1.13960472734883e-26,1.00174035057688e-24
EBAG9,EBAG9,0.462918335592906,9.4679362892593,2.52912399762068e-92,2.90021546418066e-89
PSD3,PSD3,-0.46251619277393,7.29968496366296,2.88373272352766e-14,7.55460115775242e-13
NCAPG,NCAPG,0.460865842918537,7.1433215883181,1.34746639448618e-33,2.02344536905341e-31
MCM2,MCM2,0.460682645500078,7.66877440619164,2.40435566164938e-41,4.8917003735557e-39
CKS2,CKS2,0.460549054070114,9.45783977736094,2.32528787102519e-29,2.51769795752032e-27
DNAJC12,DNAJC12,-0.458826778066005,8.8512843014138,8.75791946335861e-08,8.29683786036842e-07
CNTNAP2,CNTNAP2,0.456857867174131,7.49397776822975,1.41180585387167e-08,1.53479118977799e-07
CENPA,CENPA,0.456650565744394,6.73999803133216,6.02622637078818e-35,9.80836379885446e-33
DARC,DARC,-0.454676863791276,7.44937824200942,3.9104302791388e-12,7.31842248383632e-11
MAF1,MAF1,0.454175740143888,7.37284652401439,5.06279853393423e-112,2.12873802356821e-108
MFAP4,MFAP4,-0.45379153631758,8.42875758592626,3.6372352336824e-13,8.06328387305269e-12
NFKBIZ,NFKBIZ,-0.453090705385128,9.49827632264337,2.68862309966103e-13,6.10518303854623e-12
PKMYT1,PKMYT1,0.45294187428631,6.53636993161837,8.32052210018933e-54,2.55987965297045e-51
SLC40A1,SLC40A1,-0.452408975301874,9.83241964366639,1.41222244178102e-11,2.44359038143015e-10
CPB1,CPB1,-0.452283693202686,7.20121740974477,0.0001555016911435,0.000793807499831693
SETBP1,SETBP1,-0.451254297685483,7.96977506214082,1.2624608905188e-25,1.00789124512685e-23
