,gene,logFC,logCPM,LR,PValue,FDR
253,GPR158,0.691313188223642,3.22223869037481,9.61332038795331,0.00193171056459421,0.0124673078994481
254,MT1F,-0.688670763825658,5.38678695367772,11.1648588928845,0.000833613092821704,0.00636864117434115
255,SPEG,-0.683681765497786,4.82007775765928,18.9259970830902,1.35888211251306e-05,0.00024292929651412
256,RASL12,-0.683093998529392,5.07717831937227,19.0959239572596,1.24310094482801e-05,0.000225451669906923
257,MYH11,-0.679681282919434,11.2834371974558,14.8971973425556,0.000113531531105292,0.00131793467555809
258,ERICH5,0.674736751732436,2.83655504741441,12.9436850348169,0.000321002499581928,0.0030112633281621
259,GLB1L3,-0.674702403789133,5.5839279717507,8.29761792001273,0.00396971134263783,0.021709910406279
260,RLN2,0.674632760191691,3.17228689017045,5.1750216091458,0.0229138865301848,0.0823978092065324
261,RARRES2,-0.674356880906706,5.5432132217143,15.5114253158411,8.20080776521899e-05,0.00100219637083936
262,CSRP1,-0.672907366747239,9.66630815220092,24.2277346672598,8.55908279548653e-07,2.45661380969538e-05
263,CYP1B1,0.672629109702057,7.33312589051096,12.8876072840673,0.000330765028627616,0.00309232132294636
264,NSG1,-0.667123261799068,3.53592700589505,8.87598574240837,0.00288946182681189,0.0169759273712319
